table_name,column_name,is_nullable,spanner_type
routines,schema_level_routine,YES,character varying
routines,max_dynamic_result_sets,YES,character varying
routines,is_user_defined_cast,YES,character varying
routines,is_implicitly_invocable,YES,character varying
routines,security_type,YES,character varying
routines,to_sql_specific_catalog,YES,character varying
routines,to_sql_specific_schema,YES,character varying
routines,to_sql_specific_name,YES,character varying
routines,as_locator,YES,character varying
routines,created,YES,timestamp with time zone
routines,last_altered,YES,timestamp with time zone
routines,new_savepoint_level,YES,character varying
routines,is_udt_dependent,YES,character varying
routines,result_cast_from_data_type,YES,character varying
routines,result_cast_as_locator,YES,character varying
routines,result_cast_char_max_length,YES,bigint
routines,result_cast_char_octet_length,YES,bigint
routines,result_cast_char_set_catalog,YES,character varying
routines,result_cast_char_set_schema,YES,character varying
routines,result_cast_char_set_name,YES,character varying
routines,result_cast_collation_catalog,YES,character varying
routines,result_cast_collation_schema,YES,character varying
routines,result_cast_collation_name,YES,character varying
routines,result_cast_numeric_precision,YES,bigint
routines,result_cast_numeric_precision_radix,YES,bigint
routines,result_cast_numeric_scale,YES,bigint
routines,result_cast_datetime_precision,YES,bigint
routines,result_cast_interval_type,YES,character varying
routines,result_cast_interval_precision,YES,bigint
routines,result_cast_type_udt_catalog,YES,character varying
routines,result_cast_type_udt_schema,YES,character varying
routines,result_cast_type_udt_name,YES,character varying
routines,result_cast_scope_catalog,YES,character varying
routines,result_cast_scope_schema,YES,character varying
routines,result_cast_scope_name,YES,character varying
routines,result_cast_maximum_cardinality,YES,bigint
routines,result_cast_dtd_identifier,YES,character varying
schemata,catalog_name,YES,character varying
schemata,schema_name,YES,character varying
schemata,schema_owner,YES,character varying
schemata,default_character_set_catalog,YES,character varying
schemata,default_character_set_schema,YES,character varying
schemata,default_character_set_name,YES,character varying
schemata,sql_path,YES,character varying
schemata,effective_timestamp,YES,bigint
spanner_statistics,catalog_name,YES,character varying
spanner_statistics,schema_name,YES,character varying
spanner_statistics,package_name,YES,character varying
spanner_statistics,allow_gc,YES,character varying
table_constraints,constraint_catalog,YES,character varying
table_constraints,constraint_schema,YES,character varying
table_constraints,constraint_name,YES,character varying
table_constraints,table_catalog,YES,character varying
table_constraints,table_schema,YES,character varying
table_constraints,table_name,YES,character varying
table_constraints,constraint_type,YES,character varying
table_constraints,is_deferrable,YES,character varying
table_constraints,initially_deferred,YES,character varying
table_constraints,enforced,YES,character varying
table_privileges,grantor,YES,character varying
table_privileges,grantee,YES,character varying
table_privileges,table_catalog,YES,character varying
table_privileges,table_schema,YES,character varying
table_privileges,table_name,YES,character varying
table_privileges,privilege_type,YES,character varying
table_privileges,is_grantable,YES,character varying
table_privileges,with_hierarchy,YES,character varying
tables,table_catalog,YES,character varying
tables,table_schema,YES,character varying
tables,table_name,YES,character varying
tables,table_type,YES,character varying
tables,self_referencing_column_name,YES,character varying
tables,reference_generation,YES,character varying
tables,user_defined_type_catalog,YES,character varying
tables,user_defined_type_schema,YES,character varying
tables,user_defined_type_name,YES,character varying
tables,is_insertable_into,YES,character varying
tables,is_typed,YES,character varying
tables,commit_action,YES,character varying
tables,parent_table_name,YES,character varying
tables,on_delete_action,YES,character varying
tables,spanner_state,YES,character varying
tables,interleave_type,YES,character varying
tables,row_deletion_policy_expression,YES,character varying
views,table_catalog,YES,character varying
views,table_schema,YES,character varying
views,table_name,YES,character varying
views,view_definition,YES,character varying
views,check_option,YES,character varying
views,is_updatable,YES,character varying
views,is_insertable_into,YES,character varying
views,is_trigger_updatable,YES,character varying
views,is_trigger_deletable,YES,character varying
views,is_trigger_insertable_into,YES,character varying
views,security_type,YES,character varying
